Date : 2020-07-10 10:51:20
Directory : c:\Users\herbe\Documents\LearnRust\noxfutura
Total : 176 files,  11968 codes, 274 comments, 1403 blanks, all 13645 lines

Languages
+-----------------------------+------------+------------+------------+------------+------------+
| language                    | files      | code       | comment    | blank      | total      |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\planetgen2.rs                                      | Rust                        |        184 |          3 |         27 |        214 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\chunks\chunk.rs                           | Rust                        |        194 |          2 |         17 |        213 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\chunks\chunks.rs                          | Rust                        |         67 |          1 |          6 |         74 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\chunks\chunktype.rs                       | Rust                        |          5 |          0 |          1 |          6 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\chunks\constants.rs                       | Rust                        |          8 |          5 |          4 |         17 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\chunks\greedy.rs                          | Rust                        |         84 |          1 |         13 |         98 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\chunks\mod.rs                             | Rust                        |          9 |          0 |          1 |         10 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\loadstate.rs                              | Rust                        |         11 |          0 |          3 |         14 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\mod.rs                                    | Rust                        |        318 |         12 |         33 |        363 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\frustrum.rs                 | Rust                        |         62 |          0 |         12 |         74 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\gbuffer.rs                  | Rust                        |        114 |          2 |         15 |        131 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\mod.rs                      | Rust                        |         20 |          0 |          2 |         22 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\rpass_gbuffer_tester.rs     | Rust                        |        204 |          4 |         11 |        219 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\rpass_sunlight.rs           | Rust                        |        270 |          5 |         16 |        291 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\rpass_terrain_to_gbuffer.rs | Rust                        |        272 |         10 |         18 |        300 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\rpass_vox_to_gbuffer.rs     | Rust                        |        185 |          7 |         12 |        204 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\texarray.rs                 | Rust                        |        231 |          9 |         29 |        269 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\uniforms\camera.rs          | Rust                        |         85 |          3 |          6 |         94 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\uniforms\light_uniforms.rs  | Rust                        |         96 |          3 |         14 |        113 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\uniforms\mod.rs             | Rust                        |          8 |          0 |          2 |         10 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\uniforms\terrain_lights.rs  | Rust                        |         86 |          0 |         14 |        100 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\render_passes\uniforms\uniforms.rs        | Rust                        |         21 |          0 |          5 |         26 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\vox\cube.rs                               | Rust                        |         65 |          0 |         11 |         76 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\vox\greedy.rs                             | Rust                        |         71 |          2 |         11 |         84 |
| c:\Users\herbe\Documents\LearnRust\noxfutura\src\modes\playgame\vox\instance_list.rs                      | Rust                        |        142 |          5 |         16 |        163 |
